gene_id,Adipose_Aggregate,Brain_Aggregate,Heart_Aggregate,Liver,Muscle_Skeletal
ENSG00000270751,0.087268605,0.121787466,0.087233871,0.046286195,0.051853238
ENSG00000264678,0.002344682,0.001710999,0.002185721,0.001452212,0.001574346
ENSG00000268471,2.363091104,3.752886887,1.318846722,1.636036726,0.952703636
ENSG00000243417,0.167676185,0.264638306,0.066973986,0.070034159,0.07716188
ENSG00000240669,0.012874915,0.003396618,0.006477001,0.005734159,0.004163499
ENSG00000170006,1.015155828,0.186562342,0.38595821,0.64920177,0.119435118
ENSG00000248571,0.027907757,0.001942612,0.004301066,0.008067274,0.001182081
ENSG00000169989,0.190496573,0.587508886,0.141192868,0.07881254,0.192729461
ENSG00000164144,18.26347072,7.298957904,5.072126228,6.726318584,4.234177958
ENSG00000250980,0.050900307,0.021269626,0.017843037,0.01605892,0.017572379
ENSG00000231841,0.475218683,0.445156277,0.233350122,0.290142434,0.216148107
ENSG00000137460,1.561047037,2.052458405,0.385136662,0.37298646,0.435578868
ENSG00000249022,0.002960476,0.007154901,0.001514622,0.000565752,0.001054035
ENSG00000109654,7.100744293,45.89245336,3.551835194,3.487583186,1.246315816
ENSG00000252030,0.002161319,0.005959926,0.001857957,0,0.000356538
ENSG00000201786,0.005445813,0.005325421,0.003162882,0.002586726,0
ENSG00000213406,0.328734675,0.273171573,0.157716844,0.122244257,0.073625542
ENSG00000121211,0.418064748,0.640276,0.138015612,0.321140398,0.208042702
ENSG00000243883,0.002644863,0.002530237,0.004224304,0.002113274,0.002284521
ENSG00000121210,15.38862723,1.868326412,4.737695056,9.675783186,12.03520174
ENSG00000250771,0.621762578,0.324573358,0.164711215,0.08777223,0.031652575
ENSG00000248208,0.170120787,0.289858719,0.078763588,0.072964265,0.068889726
ENSG00000137462,23.05520728,3.881830918,4.781583208,6.241199558,1.599586426
ENSG00000145428,1.108784868,7.593955368,1.178950671,0.223739,0.090762609
ENSG00000249309,0.096994596,0.064827556,0.025292568,0.027525796,0.004642092
ENSG00000145423,179.8660099,5.458414997,4.157272431,0.280766372,5.979019826
ENSG00000280241,1.279019206,0.087427523,0.026204435,0.013650664,0.090833748
ENSG00000197410,0.092862572,0.870814867,0.007983971,0.047400575,0.033377841
ENSG00000278981,0.160463333,0.02245792,0.003685954,0.009491549,0.012086314
ENSG00000280005,0.026824486,0.015900599,0.000420128,0.011398938,0.003302864
ENSG00000249200,0.00422665,0.002739683,0.000938844,0.012149027,0.000684844
ENSG00000250609,0.008005589,0.021095882,0.002841316,0.033732655,0.003305953
ENSG00000171566,28.30859446,23.64400917,11.78272382,16.37142478,16.13223163
ENSG00000200350,0.1745761,0.025117266,0.044083115,0.067947788,0.023922416
ENSG00000248611,0.000806363,0.000651871,0.000375961,0.075370973,0.001467497
ENSG00000171564,1.822583934,0.240967572,0.703369381,10107.98142,0.331026142
ENSG00000171560,1.350933304,0.171855227,0.437211559,7269.813274,0.2408027
ENSG00000171557,1.464313739,0.235616703,0.574410932,8158.469912,0.286363115
ENSG00000121207,0.356853039,1.373948355,0.076399462,1.256352655,0.006092704
ENSG00000249074,0.004705586,0.001604812,0.002233783,0.033424469,0.000804284
ENSG00000249041,0.002063624,0.001242724,0.000328708,0.015416858,0.000480809
ENSG00000249692,0.002348929,0.000631929,0.0001075,0.023692743,0.00016995
ENSG00000151962,0.071421871,0.037330893,0.018632314,0.091288558,0.005985052
ENSG00000222582,0.000337154,0.000135079,0.000257809,0.004996018,0.000201993
ENSG00000252604,0.000310561,0.000233603,0.000504773,0.005892478,0.000237983
ENSG00000250910,0.007219244,0.014062543,0.004367403,0.012893199,0.001502522
ENSG00000250538,0.211253041,0.531979314,0.018314958,0.03161708,0.00430259
ENSG00000185149,0.358527209,0.901618581,0.025833719,0.01963719,0.0065034
ENSG00000249924,0.000616667,0.000272809,0,0.007187788,0.000710934
ENSG00000164114,2.342208101,7.29988182,1.72515035,0.195949602,0.202375355
ENSG00000250205,0.002508329,0.002469805,0.001352095,0.01900531,0.002378705
ENSG00000250398,0.001141714,0.002022396,0.000879096,0.017135841,0.000790535
ENSG00000271606,0.000320425,0.000423925,0.000386717,0.011671239,0.00184259
ENSG00000249247,0.000715047,0.000862474,0.00133892,0.012205708,0.000272665
ENSG00000249770,0.000513397,0.000778422,0.000923366,0.020808319,0.000827559
ENSG00000248748,0.000470259,0.000934061,0.001438114,0.012301186,0.00032863
ENSG00000248548,0.000749246,0.000685799,0.000781431,0.013016239,0.000272927
ENSG00000249127,0.000605355,0.000104886,0.000343707,0.021712832,0.000591781
ENSG00000249698,0.001068194,0.00103187,0.001517767,0.01525969,0.000630411
ENSG00000248420,0.00036398,0.001028806,0.001278913,0.014665429,0.00030457
ENSG00000249386,0.000292633,0.000599428,0.001432447,0.012644956,0.0004433
ENSG00000251223,0.000884941,0.001062645,0.001582137,0.021123274,0.000555866
ENSG00000248907,0.002517128,0.003306635,0.004295868,0.014819633,0.00225203
ENSG00000251407,0.000462265,0.001091974,0.001578004,0.011883274,0.00116264
ENSG00000251244,0.057050102,0.041996854,0.204375913,0.037025221,0.002654384
ENSG00000164116,12.63793433,4.297594402,8.683140458,1.795624779,2.151113948
ENSG00000260244,15.88144464,13.0376427,11.7676052,2.814915929,2.89055467
ENSG00000061918,21.33395867,35.6395042,9.742013574,3.135365929,4.187707347
ENSG00000256394,0.001320893,0.007715244,0.0010398,0.032809712,0.001230037
ENSG00000151790,0.287221782,0.411386177,0.031042412,209.9280531,0.061735917
ENSG00000256043,37.88912277,12.91022972,12.68534141,24.71485398,4.406714446
ENSG00000249013,0.028875479,0.018388413,0.010525359,0.008740265,0.012925181
ENSG00000251511,0.000730979,0.001480307,0.000417492,0.000141062,0.001145268
ENSG00000251283,0.002840409,0.001917497,0.000877987,0.003118451,0.003484807
ENSG00000249479,0.000681702,0.001087502,0.000746166,0.000830088,0.002841843
ENSG00000248912,0.000095377,0.000520497,0.000182085,0,0.00049477
ENSG00000145431,10.43754083,2.330820263,2.625077544,4.197699115,2.64562665
